id,question_processed,answer_processed,dataset
7h9ldh,Why isn’t there more competition between the pseudo-monopoly ISPs?,"It costs hundreds of millions of dollars to set up all the infrastructure in a mid/large city.

The existing cable companies generally built out with tax breaks, subsidies  &  the like and have slowly upgraded their equipment over the years, so it was never a massive financial hit all at once.  For any new company to break into the market, they'd have to pay it all up-front and look at it taking years, if not decades, to recoup the investment.

...all while trying to compete against an entrenched near-monopoly that can easily afford to cut their rates in places the startup is trying to compete until the startup goes bankrupt.

Cable companies, like electrical companies, are what we tend to call ""natural monopolies"".  The barrier to entry into the industry is so large that it doesn't make sense to try competing.  We'd have similar situations with phones if it wasn't for regulation drawn up dealing with AT & T's monopoly.",eli5
2oqm4w,Why is walking slowly easier than standing? ,"It shifts the weight from one leg/ side of the hip to the other. This puts less stress on each leg than the shared weight, because each side gets a break. This is the reason you see a lot of people leanin on one leg when standing still for more than a few minutes.",eli5
570fa2005ab6b81900390f42,"how did prince philip's uncle, lord mounbatten, die?",assassination,squad2
1oucxv,"Why do Men have nipples? From my basic knowledge nipples are used to give milk to newborn babies from the breast of a woman, but if guys don lactate then why do we have nipples?","Think about it like decorating a cake. It's a lot easier, when you're making a cake that has lots of customization to start with a base cake. It's the same thing with people. Men have nipples because, during pregnancy, it's easier to make a ""base"" human. So for example, during development, all babies develop the beginnings of a vagina and penis. During later development when genitalia is specialized, your assigned sexual organ develops, but your opposite genitalia doesn't disappear. (For men, this vestigial organ is the vagina masculina, and women have a clitoris.) So it's the same with nipples. The nipples are created just in case the baby was female and, later the milk producing organs are created along with a female reproductive system due to greater exposure to estrogen rather than testosterone.",eli5
-6352463142299838871,what caused the american oil crisis of 1974?,an oil embargo,naturalquestions
55690231325300732,how does the same neurotransmitter (i.s. norepinephrine) have different effects on different tissues?,norepinephrine acts on target cells by binding to and activating noradrenergic receptors,naturalquestions
3985567,why dexamethasone before antibiotics meningitis?,"dexamethasone reduces morbidity and mortality in bacterial meningitis by blunting the inflammatory response secondary to bacterial lysis, which frequently causes detrimental physiologic effects. dexamethasone should be given prior (20 minutes before) or concurrently with antibiotics.",gooaq
595158,what chemical in gluten causes celiac disease,"gluten is a protein found in wheat, barley, and rye. in some people who are exposed to gluten in their diet, an enzyme called tissue transglutaminase changes the gluten into a chemical that causes an immune response, leading to inflammation of the lining of the small intestine.",msmarco
57257d8e69ff041400e58e0b,why did members of the clergy oppose the use of chloroform for childbirth?,considered it against biblical teaching,squad2
7895473,what happens if you don't change your driving licence address?,"since these play such an important role for state and federal governments, failing to update a license or registration is actually a crime in most states. generally, the crime is a misdemeanor (punishable by less than a year in jail) and/or fines.",gooaq
1059930,why a business should use a accounting cycle,the accounting cycle plays an important role in creating accurate entries and managing the company’s finances each time a purchase is made or revenue is earned.,msmarco
-3237845406347968751,why is training at high altitudes an advantage for athletes?,"athletes travel to competitions at lower altitudes they will still have a higher concentration of red blood cells for 10 -- 14 days , and this gives them a competitive advantage",naturalquestions
165776,does dystonia cause pain,yes,msmarco
3980943,why atropine is contraindicated in asthma?,"contraindications. conditions at which inhibition of postganglionic cholinergic nerves are undesirable, such as glaucoma and tachycardia. also contraindicated in asthma, because the parenteral dose which might relieve asthma would have an excessive drying effect upon mucous plugs in the bronchi.",gooaq
